heldout_dataset,backbone,variant,mAP,k,tau,lambda_min,lambda_max,rounds
esb,CLIP_L14,baseline,0.5577324308162819,5,0.2,0.0,0.7,2
esb,CLIP_L14,query_only,0.5568964957904622,5,0.2,0.0,0.7,2
esb,CLIP_L14,target_only,0.6188819267617802,5,0.2,0.0,0.7,2
esb,CLIP_L14,simultaneous,0.6203155820239249,5,0.2,0.0,0.7,2
esb,CLIP_L14,alternating_fixed,0.62531438679334,5,0.2,0.0,0.7,2
esb,CLIP_L14,pong_adaptive,0.6302641824188077,5,0.2,0.0,0.7,2
esb,OpenCLIP_L14,baseline,0.6234993357453689,5,0.2,0.0,0.7,2
esb,OpenCLIP_L14,query_only,0.6304420824844692,5,0.2,0.0,0.7,2
esb,OpenCLIP_L14,target_only,0.6758570852733716,5,0.2,0.0,0.7,2
esb,OpenCLIP_L14,simultaneous,0.6862091951834801,5,0.2,0.0,0.7,2
esb,OpenCLIP_L14,alternating_fixed,0.6939656482147606,5,0.2,0.0,0.7,2
esb,OpenCLIP_L14,pong_adaptive,0.6981456766147937,5,0.2,0.0,0.7,2
esb,DINOv2,baseline,0.5914839006203799,5,0.2,0.0,0.7,2
esb,DINOv2,query_only,0.5831536238614264,5,0.2,0.0,0.7,2
esb,DINOv2,target_only,0.6126248271327761,5,0.2,0.0,0.7,2
esb,DINOv2,simultaneous,0.616580711668177,5,0.2,0.0,0.7,2
esb,DINOv2,alternating_fixed,0.6230467181610384,5,0.2,0.0,0.7,2
esb,DINOv2,pong_adaptive,0.6241169216445098,5,0.2,0.0,0.7,2
ntu,CLIP_L14,baseline,0.5820147936202443,5,0.2,0.0,0.7,2
ntu,CLIP_L14,query_only,0.5901284064938156,5,0.2,0.0,0.7,2
ntu,CLIP_L14,target_only,0.6137793672501718,5,0.2,0.0,0.7,2
ntu,CLIP_L14,simultaneous,0.6250118213254598,5,0.2,0.0,0.7,2
ntu,CLIP_L14,alternating_fixed,0.6371755981166256,5,0.2,0.0,0.7,2
ntu,CLIP_L14,pong_adaptive,0.6289085186505249,5,0.2,0.0,0.7,2
ntu,OpenCLIP_L14,baseline,0.6450350294713222,5,0.2,0.0,0.7,2
ntu,OpenCLIP_L14,query_only,0.6573648267301972,5,0.2,0.0,0.7,2
ntu,OpenCLIP_L14,target_only,0.6791169028216684,5,0.2,0.0,0.7,2
ntu,OpenCLIP_L14,simultaneous,0.6992525800153594,5,0.2,0.0,0.7,2
ntu,OpenCLIP_L14,alternating_fixed,0.6994566318434483,5,0.2,0.0,0.7,2
ntu,OpenCLIP_L14,pong_adaptive,0.7008584664549247,5,0.2,0.0,0.7,2
ntu,DINOv2,baseline,0.5980231592810233,5,0.2,0.0,0.7,2
ntu,DINOv2,query_only,0.6203276042372605,5,0.2,0.0,0.7,2
ntu,DINOv2,target_only,0.6348594442602977,5,0.2,0.0,0.7,2
ntu,DINOv2,simultaneous,0.6569899371815466,5,0.2,0.0,0.7,2
ntu,DINOv2,alternating_fixed,0.6584898263996637,5,0.2,0.0,0.7,2
ntu,DINOv2,pong_adaptive,0.6606099330727522,5,0.2,0.0,0.7,2
abo,CLIP_L14,baseline,0.5925097964500053,5,0.2,0.0,0.7,2
abo,CLIP_L14,query_only,0.6169135349923718,5,0.2,0.0,0.7,2
abo,CLIP_L14,target_only,0.6182106102821896,5,0.2,0.0,0.7,2
abo,CLIP_L14,simultaneous,0.6491709603744048,5,0.2,0.0,0.7,2
abo,CLIP_L14,alternating_fixed,0.6547760616262608,5,0.2,0.0,0.7,2
