heldout_dataset,backbone,rounds,mAP,selected_rounds,k,tau,lambda_min,lambda_max
esb,CLIP_L14,0,0.5577324308162819,2,5,0.2,0.0,0.7
esb,CLIP_L14,1,0.6224636642452323,2,5,0.2,0.0,0.7
esb,CLIP_L14,2,0.6302641824188077,2,5,0.2,0.0,0.7
esb,CLIP_L14,3,0.6246836649183899,2,5,0.2,0.0,0.7
esb,CLIP_L14,4,0.613096293769987,2,5,0.2,0.0,0.7
esb,CLIP_L14,5,0.6111143017879813,2,5,0.2,0.0,0.7
esb,OpenCLIP_L14,0,0.6234993357453689,2,5,0.2,0.0,0.7
esb,OpenCLIP_L14,1,0.688622088421662,2,5,0.2,0.0,0.7
esb,OpenCLIP_L14,2,0.6981456766147937,2,5,0.2,0.0,0.7
esb,OpenCLIP_L14,3,0.6812825010510124,2,5,0.2,0.0,0.7
esb,OpenCLIP_L14,4,0.662520337055664,2,5,0.2,0.0,0.7
esb,OpenCLIP_L14,5,0.6541600595164682,2,5,0.2,0.0,0.7
esb,DINOv2,0,0.5914839006203799,2,5,0.2,0.0,0.7
esb,DINOv2,1,0.623170468380296,2,5,0.2,0.0,0.7
esb,DINOv2,2,0.6241169216445098,2,5,0.2,0.0,0.7
esb,DINOv2,3,0.614184062373116,2,5,0.2,0.0,0.7
esb,DINOv2,4,0.6062099076267214,2,5,0.2,0.0,0.7
esb,DINOv2,5,0.5974685780649635,2,5,0.2,0.0,0.7
ntu,CLIP_L14,0,0.5820147936202443,2,5,0.2,0.0,0.7
ntu,CLIP_L14,1,0.6331726351377068,2,5,0.2,0.0,0.7
ntu,CLIP_L14,2,0.6289085186505249,2,5,0.2,0.0,0.7
ntu,CLIP_L14,3,0.6137314606523954,2,5,0.2,0.0,0.7
ntu,CLIP_L14,4,0.600867562554907,2,5,0.2,0.0,0.7
ntu,CLIP_L14,5,0.5906726939952694,2,5,0.2,0.0,0.7
ntu,OpenCLIP_L14,0,0.6450350294713222,2,5,0.2,0.0,0.7
ntu,OpenCLIP_L14,1,0.6974159264445512,2,5,0.2,0.0,0.7
ntu,OpenCLIP_L14,2,0.7008584664549247,2,5,0.2,0.0,0.7
ntu,OpenCLIP_L14,3,0.6912543518798779,2,5,0.2,0.0,0.7
ntu,OpenCLIP_L14,4,0.6795134482819569,2,5,0.2,0.0,0.7
ntu,OpenCLIP_L14,5,0.6722518741423953,2,5,0.2,0.0,0.7
ntu,DINOv2,0,0.5980231592810233,2,5,0.2,0.0,0.7
ntu,DINOv2,1,0.643850067474943,2,5,0.2,0.0,0.7
ntu,DINOv2,2,0.6606099330727522,2,5,0.2,0.0,0.7
ntu,DINOv2,3,0.6559609944576558,2,5,0.2,0.0,0.7
ntu,DINOv2,4,0.6449517694479341,2,5,0.2,0.0,0.7
ntu,DINOv2,5,0.6351458257399952,2,5,0.2,0.0,0.7
abo,CLIP_L14,0,0.5925097964500053,2,5,0.2,0.0,0.7
abo,CLIP_L14,1,0.6586621091867413,2,5,0.2,0.0,0.7
abo,CLIP_L14,2,0.6563578039601321,2,5,0.2,0.0,0.7
abo,CLIP_L14,3,0.6365008473157504,2,5,0.2,0.0,0.7
abo,CLIP_L14,4,0.6107736499977299,2,5,0.2,0.0,0.7
abo,CLIP_L14,5,0.5906174952712311,2,5,0.2,0.0,0.7
abo,OpenCLIP_L14,0,0.6294085317484273,2,5,0.2,0.0,0.7
abo,OpenCLIP_L14,1,0.6960489836666476,2,5,0.2,0.0,0.7
abo,OpenCLIP_L14,2,0.7046968741438364,2,5,0.2,0.0,0.7
abo,OpenCLIP_L14,3,0.6962221181672402,2,5,0.2,0.0,0.7
abo,OpenCLIP_L14,4,0.6765124880719886,2,5,0.2,0.0,0.7
abo,OpenCLIP_L14,5,0.6545396755943104,2,5,0.2,0.0,0.7
abo,DINOv2,0,0.6231118674960745,2,5,0.2,0.0,0.7
abo,DINOv2,1,0.6678323981375334,2,5,0.2,0.0,0.7
abo,DINOv2,2,0.6763183049438112,2,5,0.2,0.0,0.7
abo,DINOv2,3,0.667826956623051,2,5,0.2,0.0,0.7
abo,DINOv2,4,0.6563784737661097,2,5,0.2,0.0,0.7
abo,DINOv2,5,0.642330694151271,2,5,0.2,0.0,0.7
mn40,CLIP_L14,0,0.5230931950369779,2,5,0.2,0.1,0.5
mn40,CLIP_L14,1,0.6387213345148117,2,5,0.2,0.1,0.5
mn40,CLIP_L14,2,0.6704875755108449,2,5,0.2,0.1,0.5
mn40,CLIP_L14,3,0.6728514829027399,2,5,0.2,0.1,0.5
mn40,CLIP_L14,4,0.6692213994994163,2,5,0.2,0.1,0.5
mn40,CLIP_L14,5,0.6593885358864343,2,5,0.2,0.1,0.5
mn40,OpenCLIP_L14,0,0.668125674586142,2,5,0.2,0.1,0.5
mn40,OpenCLIP_L14,1,0.7400494197739094,2,5,0.2,0.1,0.5
mn40,OpenCLIP_L14,2,0.7608242306927641,2,5,0.2,0.1,0.5
mn40,OpenCLIP_L14,3,0.7651614381193923,2,5,0.2,0.1,0.5
mn40,OpenCLIP_L14,4,0.7629672406956912,2,5,0.2,0.1,0.5
mn40,OpenCLIP_L14,5,0.7566821991909252,2,5,0.2,0.1,0.5
mn40,DINOv2,0,0.6265300769741111,2,5,0.2,0.1,0.5
mn40,DINOv2,1,0.6902333949009569,2,5,0.2,0.1,0.5
mn40,DINOv2,2,0.716823875364941,2,5,0.2,0.1,0.5
mn40,DINOv2,3,0.721762056962417,2,5,0.2,0.1,0.5
mn40,DINOv2,4,0.7175084828108692,2,5,0.2,0.1,0.5
mn40,DINOv2,5,0.7109771143110757,2,5,0.2,0.1,0.5
