heldout_dataset,grid_index,development_rank,development_mean_mAP,topk,tau,alpha,n_iter
esb,0,32,0.6618539365274776,5,0.1,0.3,2
esb,1,24,0.6729602361708099,5,0.1,0.5,2
esb,2,22,0.6766364097848201,5,0.1,0.7,2
esb,3,18,0.6780037967298947,5,0.1,0.9,2
esb,4,31,0.6643307147003592,5,0.2,0.3,2
esb,5,23,0.6749710149676229,5,0.2,0.5,2
esb,6,19,0.6778364132467165,5,0.2,0.7,2
esb,7,20,0.6774709347590696,5,0.2,0.9,2
esb,8,30,0.6644743568602478,7,0.1,0.3,2
esb,9,21,0.6768402013387581,7,0.1,0.5,2
esb,10,12,0.680623685829397,7,0.1,0.7,2
esb,11,9,0.6821493908693596,7,0.1,0.9,2
esb,12,28,0.6667288191299681,7,0.2,0.3,2
esb,13,16,0.6791102910253053,7,0.2,0.5,2
esb,14,5,0.6825363094820855,7,0.2,0.7,2
esb,15,1,0.68362403743296,7,0.2,0.9,2
esb,16,29,0.6659327539926712,10,0.1,0.3,2
esb,17,17,0.6784903331043668,10,0.1,0.5,2
esb,18,8,0.6823516134831438,10,0.1,0.7,2
esb,19,7,0.6824080364738015,10,0.1,0.9,2
esb,20,26,0.6687129879534386,10,0.2,0.3,2
esb,21,13,0.6803416806067242,10,0.2,0.5,2
esb,22,4,0.683171009217254,10,0.2,0.7,2
esb,23,10,0.6815342619761977,10,0.2,0.9,2
esb,24,27,0.6672297528229914,15,0.1,0.3,2
esb,25,14,0.6801226396040829,15,0.1,0.5,2
esb,26,2,0.6834809914329144,15,0.1,0.7,2
esb,27,6,0.6825182026373435,15,0.1,0.9,2
esb,28,25,0.6694110233986137,15,0.2,0.3,2
esb,29,11,0.6814353749149843,15,0.2,0.5,2
esb,30,3,0.6831938236009125,15,0.2,0.7,2
esb,31,15,0.6800775914683469,15,0.2,0.9,2
ntu,0,32,0.6532026809566683,5,0.1,0.3,2
ntu,1,24,0.6643834230448965,5,0.1,0.5,2
ntu,2,21,0.6681334613224458,5,0.1,0.7,2
ntu,3,20,0.6686506663924539,5,0.1,0.9,2
ntu,4,30,0.6559770717790983,5,0.2,0.3,2
ntu,5,23,0.6673029032045538,5,0.2,0.5,2
ntu,6,17,0.6704251419566328,5,0.2,0.7,2
ntu,7,19,0.6700525719456156,5,0.2,0.9,2
ntu,8,31,0.6554645852694254,7,0.1,0.3,2
ntu,9,22,0.6677316892933551,7,0.1,0.5,2
ntu,10,15,0.671131125676365,7,0.1,0.7,2
ntu,11,14,0.6714701333107506,7,0.1,0.9,2
ntu,12,28,0.6588493481659393,7,0.2,0.3,2
ntu,13,16,0.670795668098618,7,0.2,0.5,2
ntu,14,7,0.6742576177254083,7,0.2,0.7,2
ntu,15,8,0.674035900127003,7,0.2,0.9,2
ntu,16,29,0.6572685512123277,10,0.1,0.3,2
ntu,17,18,0.6701631309820943,10,0.1,0.5,2
ntu,18,11,0.6735430473490738,10,0.1,0.7,2
ntu,19,12,0.6728431055466932,10,0.1,0.9,2
ntu,20,26,0.6609923994100804,10,0.2,0.3,2
ntu,21,9,0.6740020243005865,10,0.2,0.5,2
ntu,22,3,0.6772526072489337,10,0.2,0.7,2
ntu,23,6,0.6745617635971447,10,0.2,0.9,2
ntu,24,27,0.6603634544868886,15,0.1,0.3,2
ntu,25,10,0.6738548640554265,15,0.1,0.5,2
ntu,26,2,0.6777587340133755,15,0.1,0.7,2
ntu,27,5,0.6750437584850633,15,0.1,0.9,2
ntu,28,25,0.6633984652198549,15,0.2,0.3,2
ntu,29,4,0.6771970073765208,15,0.2,0.5,2
ntu,30,1,0.6790479403112787,15,0.2,0.7,2
ntu,31,13,0.6728063275079685,15,0.2,0.9,2
abo,0,31,0.6507109241886924,5,0.1,0.3,2
abo,1,18,0.6587040694723539,5,0.1,0.5,2
abo,2,17,0.6589863581624755,5,0.1,0.7,2
abo,3,21,0.6575669034270484,5,0.1,0.9,2
abo,4,28,0.6529648852603018,5,0.2,0.3,2
abo,5,12,0.6608382817500418,5,0.2,0.5,2
abo,6,14,0.6603100893927989,5,0.2,0.7,2
abo,7,20,0.6575841306200542,5,0.2,0.9,2
abo,8,30,0.652550434976735,7,0.1,0.3,2
abo,9,11,0.6617520289723964,7,0.1,0.5,2
abo,10,8,0.6623458975751524,7,0.1,0.7,2
abo,11,13,0.6605032783272878,7,0.1,0.9,2
abo,12,26,0.6544521814032955,7,0.2,0.3,2
abo,13,4,0.6634722420469856,7,0.2,0.5,2
abo,14,3,0.6636764119309098,7,0.2,0.7,2
abo,15,15,0.6601243559748184,7,0.2,0.9,2
abo,16,29,0.6528981908917445,10,0.1,0.3,2
abo,17,7,0.6625015146234587,10,0.1,0.5,2
abo,18,9,0.66232688776825,10,0.1,0.7,2
abo,19,19,0.6581446104855296,10,0.1,0.9,2
abo,20,24,0.6551046036185482,10,0.2,0.3,2
abo,21,2,0.6637111834803309,10,0.2,0.5,2
abo,22,6,0.662649604993304,10,0.2,0.7,2
abo,23,22,0.6555285339965108,10,0.2,0.9,2
abo,24,27,0.6533802125872279,15,0.1,0.3,2
abo,25,5,0.6628894491335685,15,0.1,0.5,2
abo,26,10,0.6622073840254039,15,0.1,0.7,2
abo,27,23,0.6553306085171916,15,0.1,0.9,2
abo,28,25,0.6546584011157467,15,0.2,0.3,2
abo,29,1,0.6637595659779577,15,0.2,0.5,2
abo,30,16,0.6599396987446966,15,0.2,0.7,2
abo,31,32,0.6481825157013233,15,0.2,0.9,2
mn40,0,31,0.6473889011053111,5,0.1,0.3,2
mn40,1,17,0.653791074785999,5,0.1,0.5,2
mn40,2,18,0.6537875151684333,5,0.1,0.7,2
mn40,3,24,0.6516962903018817,5,0.1,0.9,2
mn40,4,26,0.650505926994147,5,0.2,0.3,2
mn40,5,9,0.6564975759493655,5,0.2,0.5,2
mn40,6,13,0.6557530178163371,5,0.2,0.7,2
mn40,7,22,0.6518619662588923,5,0.2,0.9,2
mn40,8,29,0.6489495899533161,7,0.1,0.3,2
mn40,9,11,0.6564456627014598,7,0.1,0.5,2
mn40,10,10,0.6564488354451737,7,0.1,0.7,2
mn40,11,16,0.6539914260962395,7,0.1,0.9,2
mn40,12,21,0.6519450606558439,7,0.2,0.3,2
mn40,13,3,0.6591685454687662,7,0.2,0.5,2
mn40,14,5,0.6585868042313776,7,0.2,0.7,2
mn40,15,14,0.6554156339786338,7,0.2,0.9,2
mn40,16,28,0.6493457679495536,10,0.1,0.3,2
mn40,17,6,0.6576163714710896,10,0.1,0.5,2
mn40,18,8,0.6570038836283925,10,0.1,0.7,2
mn40,19,19,0.6530260289410225,10,0.1,0.9,2
mn40,20,20,0.6528319658238529,10,0.2,0.3,2
mn40,21,1,0.6601745201831499,10,0.2,0.5,2
mn40,22,4,0.6586763421705628,10,0.2,0.7,2
mn40,23,25,0.6514224422438747,10,0.2,0.9,2
mn40,24,27,0.6495491273107847,15,0.1,0.3,2
mn40,25,7,0.6572040048282682,15,0.1,0.5,2
mn40,26,12,0.6561404921078855,15,0.1,0.7,2
mn40,27,30,0.6489367028535413,15,0.1,0.9,2
mn40,28,23,0.651854268710829,15,0.2,0.3,2
mn40,29,2,0.6592274600834575,15,0.2,0.5,2
mn40,30,15,0.6548227517093488,15,0.2,0.7,2
mn40,31,32,0.6427105082328582,15,0.2,0.9,2
