heldout_dataset,backbone,topk,tau,alpha,n_iter,mAP,NDCG@100,ANMRR
esb,CLIP_L14,7,0.2,0.9,2,0.5966501183806658,0.24674279655262896,0.45843217625364086
esb,OpenCLIP_L14,7,0.2,0.9,2,0.670639899554416,0.2663167109543028,0.38562582283987434
esb,DINOv2,7,0.2,0.9,2,0.5996934277085241,0.24336574583177253,0.45194357330635054
ntu,CLIP_L14,15,0.2,0.7,2,0.6145699468402052,0.2714073718417381,0.4266873396016531
ntu,OpenCLIP_L14,15,0.2,0.7,2,0.6704275341743289,0.28748216230465057,0.37895873104222355
ntu,DINOv2,15,0.2,0.7,2,0.6345836992826679,0.274337106696598,0.4028104059055275
abo,CLIP_L14,15,0.2,0.5,2,0.6673634525685868,0.5812013221792373,0.34613320298580075
abo,OpenCLIP_L14,15,0.2,0.5,2,0.7141997139546055,0.5926357079605235,0.3057800528726161
abo,DINOv2,15,0.2,0.5,2,0.6894589647339486,0.5858681640499279,0.34105297056955836
mn40,CLIP_L14,10,0.2,0.5,2,0.6413180097787076,0.7373583357296877,0.38038949239672254
mn40,OpenCLIP_L14,10,0.2,0.5,2,0.7439746504519809,0.8057823786009021,0.2854936300269567
mn40,DINOv2,10,0.2,0.5,2,0.707824883833337,0.7831156719197802,0.3236184596237348
