heldout_dataset,backbone,k,tau,lambda_min,lambda_max,rounds,purity_before,purity_after,hubness_gini_before,hubness_gini_after,fisher_before,fisher_after
esb,CLIP_L14,5,0.2,0.0,0.7,2,0.65,0.66,0.541349557522124,0.4688643067846607,1.9553308694176057,4.4347688210627725
esb,OpenCLIP_L14,5,0.2,0.0,0.7,2,0.7233333333333334,0.7383333333333333,0.5436061946902656,0.48210176991150433,2.0541586118911734,5.612394871676075
esb,DINOv2,5,0.2,0.0,0.7,2,0.6916666666666667,0.67,0.509188790560472,0.45632005899705014,1.848245077731744,3.227341974288889
ntu,CLIP_L14,5,0.2,0.0,0.7,2,0.6977777777777778,0.7081481481481482,0.6059842060786199,0.5435463472914299,2.0536518983107594,4.074971378606169
ntu,OpenCLIP_L14,5,0.2,0.0,0.7,2,0.74,0.7696296296296297,0.5915575370807471,0.5440860215053763,2.111326722585943,4.488596028661357
ntu,DINOv2,5,0.2,0.0,0.7,2,0.7162962962962963,0.7340740740740741,0.5893953434157997,0.5537197307456946,1.7670677657087,3.2119435500127165
abo,CLIP_L14,5,0.2,0.0,0.7,2,0.8705882352941177,0.8752941176470588,0.9424075052569147,0.9382062867310077,1.9243631745795504,4.22521598550227
abo,OpenCLIP_L14,5,0.2,0.0,0.7,2,0.8611764705882353,0.8729411764705882,0.9409383727826601,0.93874286946676,1.9038875274841076,4.557156784428782
abo,DINOv2,5,0.2,0.0,0.7,2,0.8588235294117647,0.8447058823529412,0.9391845581495661,0.9349186391330134,1.9148406516127,3.455660161221673
mn40,CLIP_L14,5,0.2,0.1,0.5,2,0.83375,0.85625,0.93787463822489,0.9261753671347412,2.072490438944861,3.934645921336895
mn40,OpenCLIP_L14,5,0.2,0.1,0.5,2,0.89125,0.88125,0.9247087040411618,0.9218300460928287,2.1193664139505874,4.726102585952998
mn40,DINOv2,5,0.2,0.1,0.5,2,0.87875,0.8825,0.925992335727302,0.9220055740165076,1.861800762239367,3.1926671167462977
