heldout_dataset,grid_index,development_rank,development_mean_mAP,topk,tau,lam_min,lam_max,n_iter
esb,0,21,0.6809574574848676,5,0.1,0.0,0.5,2
esb,1,13,0.6822422078425484,5,0.1,0.0,0.7,2
esb,2,29,0.6782985153535481,5,0.1,0.0,0.9,2
esb,3,17,0.6814917867681975,5,0.1,0.1,0.5,2
esb,4,15,0.681718657832082,5,0.1,0.1,0.7,2
esb,5,30,0.6772372076254732,5,0.1,0.1,0.9,2
esb,6,6,0.6854647971319854,5,0.2,0.0,0.5,2
esb,7,1,0.6882348757731938,5,0.2,0.0,0.7,2
esb,8,12,0.6824302264576529,5,0.2,0.0,0.9,2
esb,9,5,0.6863724844185856,5,0.2,0.1,0.5,2
esb,10,2,0.6877942683649272,5,0.2,0.1,0.7,2
esb,11,20,0.6810822846784601,5,0.2,0.1,0.9,2
esb,12,23,0.6801321609127206,7,0.1,0.0,0.5,2
esb,13,10,0.6836048113841089,7,0.1,0.0,0.7,2
esb,14,22,0.6806201317056739,7,0.1,0.0,0.9,2
esb,15,16,0.6816704416468988,7,0.1,0.1,0.5,2
esb,16,8,0.6836961304559817,7,0.1,0.1,0.7,2
esb,17,25,0.6800323488460791,7,0.1,0.1,0.9,2
esb,18,9,0.6836892037471634,7,0.2,0.0,0.5,2
esb,19,4,0.6876604233236058,7,0.2,0.0,0.7,2
esb,20,11,0.6826988117278184,7,0.2,0.0,0.9,2
esb,21,7,0.6852291390564628,7,0.2,0.1,0.5,2
esb,22,3,0.6877872386365649,7,0.2,0.1,0.7,2
esb,23,14,0.6822013072530239,7,0.2,0.1,0.9,2
esb,24,33,0.6768598929304123,10,0.1,0.0,0.5,2
esb,25,19,0.6813063074729516,10,0.1,0.0,0.7,2
esb,26,32,0.6770779098064876,10,0.1,0.0,0.9,2
esb,27,28,0.6786061018649654,10,0.1,0.1,0.5,2
esb,28,18,0.6814098156705123,10,0.1,0.1,0.7,2
esb,29,31,0.6772035102472498,10,0.1,0.1,0.9,2
esb,30,34,0.6767649714976111,10,0.2,0.0,0.5,2
esb,31,27,0.6792510531348461,10,0.2,0.0,0.7,2
esb,32,40,0.6698107892570788,10,0.2,0.0,0.9,2
esb,33,26,0.679411006652392,10,0.2,0.1,0.5,2
esb,34,24,0.6800587362813422,10,0.2,0.1,0.7,2
esb,35,41,0.6694382109863419,10,0.2,0.1,0.9,2
esb,36,38,0.6708826249693999,15,0.1,0.0,0.5,2
esb,37,36,0.6738885712455883,15,0.1,0.0,0.7,2
esb,38,45,0.6645397559698532,15,0.1,0.0,0.9,2
