heldout_dataset,backbone,topk,tau,lam_min,lam_max,n_iter,teda_mAP,pong_mAP,delta_mAP_pp,teda_NDCG@100,pong_NDCG@100,delta_NDCG_pp,teda_ANMRR,pong_ANMRR,delta_ANMRR_pp
esb,CLIP_L14,5,0.2,0.0,0.7,2,0.6092,0.6302641824188077,2.1064182418807698,0.2513,0.25282682875648843,0.15268287564884075,0.4399,0.4278649057752683,-1.2035094224731702
esb,OpenCLIP_L14,5,0.2,0.0,0.7,2,0.6505,0.6981456766147937,4.764567661479369,0.2606,0.27097403724668656,1.0374037246686563,0.4024,0.35645637236577427,-4.594362763422572
esb,DINOv2,5,0.2,0.0,0.7,2,0.6176,0.6241169216445098,0.6516921644509788,0.2522,0.24956848609220736,-0.2631513907792621,0.4342,0.4295753137011744,-0.46246862988255644
ntu,CLIP_L14,5,0.2,0.0,0.7,2,0.6163,0.6289085186505249,1.2608518650524925,0.2744,0.27366429800398434,-0.07357019960156364,0.4177,0.40803121812187293,-0.9668781878127086
ntu,OpenCLIP_L14,5,0.2,0.0,0.7,2,0.6647,0.7008584664549247,3.615846645492471,0.2891,0.29180743397027564,0.2707433970275619,0.3774,0.33150033316942523,-4.589966683057478
ntu,DINOv2,5,0.2,0.0,0.7,2,0.6291,0.6606099330727522,3.1509933072752183,0.2769,0.281180526839193,0.42805268391929996,0.4066,0.37857971199367163,-2.8020288006328387
abo,CLIP_L14,5,0.2,0.0,0.7,2,0.6559,0.6563577852919776,0.04577852919775971,0.578,0.5770988478742007,-0.09011521257992205,0.3702,0.3608631742805084,-0.933682571949157
abo,OpenCLIP_L14,5,0.2,0.0,0.7,2,0.6997,0.7046973814842294,0.4997381484229457,0.5866,0.5889731358125629,0.2373135812562932,0.3236,0.31928912090695877,-0.4310879093041231
abo,DINOv2,5,0.2,0.0,0.7,2,0.6783,0.6763183035409851,-0.19816964590149144,0.5914,0.5814958546476031,-0.990414535239692,0.3558,0.3546953947380551,-0.1104605261944891
mn40,CLIP_L14,5,0.2,0.1,0.5,2,0.6394,0.6704869373353718,3.1086937335371823,0.7383,0.7562316011325902,1.7931601132590291,0.3827,0.3509471032632126,-3.1752896736787384
mn40,OpenCLIP_L14,5,0.2,0.1,0.5,2,0.7342,0.7608242204852748,2.6624220485274797,0.7965,0.8114536241604426,1.4953624160442658,0.2994,0.270783107265255,-2.861689273474499
mn40,DINOv2,5,0.2,0.1,0.5,2,0.7012,0.716823870494637,1.5623870494636982,0.7725,0.7855812652465206,1.3081265246520646,0.3342,0.3156281362528831,-1.857186374711689
