setting,backbone,dataset,grid_index,mAP,topk,tau,lam_min,lam_max,n_iter
CLIP_L14_abo,CLIP_L14,abo,0,0.6547368128885053,5,0.1,0.0,0.5,2
CLIP_L14_abo,CLIP_L14,abo,1,0.6495815956440921,5,0.1,0.0,0.7,2
CLIP_L14_abo,CLIP_L14,abo,2,0.6358620061677068,5,0.1,0.0,0.9,2
CLIP_L14_abo,CLIP_L14,abo,3,0.6542958672429919,5,0.1,0.1,0.5,2
CLIP_L14_abo,CLIP_L14,abo,4,0.6474299774027412,5,0.1,0.1,0.7,2
CLIP_L14_abo,CLIP_L14,abo,5,0.6353591319084575,5,0.1,0.1,0.9,2
CLIP_L14_abo,CLIP_L14,abo,6,0.659854635253882,5,0.2,0.0,0.5,2
CLIP_L14_abo,CLIP_L14,abo,7,0.6563577852919776,5,0.2,0.0,0.7,2
CLIP_L14_abo,CLIP_L14,abo,8,0.6382469805490301,5,0.2,0.0,0.9,2
CLIP_L14_abo,CLIP_L14,abo,9,0.6594429999792412,5,0.2,0.1,0.5,2
CLIP_L14_abo,CLIP_L14,abo,10,0.6556322571613149,5,0.2,0.1,0.7,2
CLIP_L14_abo,CLIP_L14,abo,11,0.6365197767130075,5,0.2,0.1,0.9,2
CLIP_L14_abo,CLIP_L14,abo,12,0.6531779509790792,7,0.1,0.0,0.5,2
CLIP_L14_abo,CLIP_L14,abo,13,0.6494874815246829,7,0.1,0.0,0.7,2
CLIP_L14_abo,CLIP_L14,abo,14,0.6414946426851534,7,0.1,0.0,0.9,2
CLIP_L14_abo,CLIP_L14,abo,15,0.6526158065553892,7,0.1,0.1,0.5,2
CLIP_L14_abo,CLIP_L14,abo,16,0.6488164049585969,7,0.1,0.1,0.7,2
CLIP_L14_abo,CLIP_L14,abo,17,0.6408051858735552,7,0.1,0.1,0.9,2
CLIP_L14_abo,CLIP_L14,abo,18,0.6554961529968979,7,0.2,0.0,0.5,2
CLIP_L14_abo,CLIP_L14,abo,19,0.6552910559065437,7,0.2,0.0,0.7,2
CLIP_L14_abo,CLIP_L14,abo,20,0.6486760844775875,7,0.2,0.0,0.9,2
CLIP_L14_abo,CLIP_L14,abo,21,0.6556971499119775,7,0.2,0.1,0.5,2
CLIP_L14_abo,CLIP_L14,abo,22,0.6551838592556449,7,0.2,0.1,0.7,2
