setting,backbone,dataset,batch_size,seed,num_batches,top100_overlap_vs_seed0,mAP,NDCG@100,ANMRR
CLIP_L14_abo,CLIP_L14,abo,single,0,85,1.0,0.6141241311435075,0.5787059224668004,0.40432152502753943
CLIP_L14_abo,CLIP_L14,abo,5,0,17,1.0,0.6383602832612311,0.5768016271596578,0.38418536351401716
CLIP_L14_abo,CLIP_L14,abo,5,1,17,0.7524705882352941,0.6302853979032725,0.5760220745248207,0.39156226179216436
CLIP_L14_abo,CLIP_L14,abo,5,2,17,0.7615294117647058,0.6359305189124242,0.5745515483825168,0.3847635615514304
CLIP_L14_abo,CLIP_L14,abo,5,3,17,0.7517647058823529,0.646040282250908,0.5848058678213639,0.3758508298140221
CLIP_L14_abo,CLIP_L14,abo,5,4,17,0.7490588235294117,0.6346924170532816,0.578690175104739,0.3856240481126658
CLIP_L14_abo,CLIP_L14,abo,10,0,9,1.0,0.6242684525826017,0.56881194881147,0.39377406426369066
CLIP_L14_abo,CLIP_L14,abo,10,1,9,0.6991764705882354,0.6287750839877939,0.5781886204895728,0.3934056676043345
CLIP_L14_abo,CLIP_L14,abo,10,2,9,0.701764705882353,0.625281098276026,0.5766933625380878,0.39588329980533143
CLIP_L14_abo,CLIP_L14,abo,10,3,9,0.708,0.6371371460006806,0.5820348903621442,0.3813374391621151
CLIP_L14_abo,CLIP_L14,abo,10,4,9,0.6925882352941176,0.6302713269925525,0.5794177513036122,0.38719609740605887
CLIP_L14_abo,CLIP_L14,abo,full,0,1,1.0,0.6563578039601321,0.5770988287519316,0.36086248881094835
CLIP_L14_esb,CLIP_L14,esb,single,0,120,1.0,0.5565184074806445,0.23385269915365772,0.4826416087700907
CLIP_L14_esb,CLIP_L14,esb,5,0,24,1.0,0.5757870461126735,0.24032022197710615,0.46754948902384946
CLIP_L14_esb,CLIP_L14,esb,5,1,24,0.7859166666666667,0.5866145526864442,0.2457865275015501,0.465662008784153
CLIP_L14_esb,CLIP_L14,esb,5,2,24,0.8044999999999999,0.5791266749791568,0.24258617609435365,0.4699980073274325
CLIP_L14_esb,CLIP_L14,esb,5,3,24,0.7874166666666667,0.576947982467231,0.23996802163783795,0.48476501928360755
CLIP_L14_esb,CLIP_L14,esb,5,4,24,0.7931666666666667,0.5754060393732978,0.2393154510718948,0.468806297172556
CLIP_L14_esb,CLIP_L14,esb,10,0,12,1.0,0.5685079160493082,0.238305738883275,0.4805777539527055
CLIP_L14_esb,CLIP_L14,esb,10,1,12,0.7536666666666666,0.577937795986662,0.2435352362056222,0.47342911102707497
CLIP_L14_esb,CLIP_L14,esb,10,2,12,0.7536666666666666,0.5772781420848276,0.24436831265541628,0.46631310489287237
