condition,mAP,NDCG@100,ANMRR,delta_mAP_vs_clean_pp,top100_overlap_vs_clean,setting,backbone,dataset
clean,0.7335101294241362,0.59050008266685,0.28182955393415604,0.0,1.0,CLIP_L14_abo,CLIP_L14,abo
class_concentrated,0.6903621394029942,0.5674306483845907,0.31782483334406875,-4.3147990021142,0.6828000000000001,CLIP_L14_abo,CLIP_L14,abo
duplicate,0.7103708239223514,0.5958938832346611,0.31166839482154407,-2.313930550178478,0.6904,CLIP_L14_abo,CLIP_L14,abo
ood,0.7309034723897687,0.5793240022791509,0.28825155607082426,-0.26066570343674655,0.7348000000000001,CLIP_L14_abo,CLIP_L14,abo
clean,0.6124764342327076,0.2464783218103613,0.43189332692037397,0.0,1.0,CLIP_L14_esb,CLIP_L14,esb
class_concentrated,0.5686386763029934,0.22771400420278243,0.46448734174232065,-4.383775792971423,0.7447999999999999,CLIP_L14_esb,CLIP_L14,esb
duplicate,0.5917881175771749,0.23913035159085871,0.4512689131620421,-2.0688316655532724,0.8356,CLIP_L14_esb,CLIP_L14,esb
ood,0.598631454323996,0.23891400540804197,0.42311004318941087,-1.3844979908711585,0.8299999999999998,CLIP_L14_esb,CLIP_L14,esb
clean,0.5653384189171732,0.6731529644143454,0.4395496120693568,0.0,1.0,CLIP_L14_mn40,CLIP_L14,mn40
class_concentrated,0.5390800170323052,0.6468734437233314,0.4696884431425788,-2.6258401884867943,0.8144,CLIP_L14_mn40,CLIP_L14,mn40
duplicate,0.5657779128136575,0.6741138459912938,0.43362645974239344,0.04394938964843442,0.8808,CLIP_L14_mn40,CLIP_L14,mn40
ood,0.5606875460623872,0.667651723447473,0.44745696663737716,-0.4650872854785937,0.8847999999999999,CLIP_L14_mn40,CLIP_L14,mn40
clean,0.5452525516167744,0.25064149221454035,0.482957415080633,0.0,1.0,CLIP_L14_ntu,CLIP_L14,ntu
class_concentrated,0.530815590920384,0.24736640473177957,0.484324241474258,-1.4436960696390444,0.7152000000000001,CLIP_L14_ntu,CLIP_L14,ntu
duplicate,0.5542934586518838,0.2512753534860631,0.47414484521868167,0.9040907035109402,0.7508,CLIP_L14_ntu,CLIP_L14,ntu
ood,0.561814972736625,0.25340468454385523,0.45752822208339905,1.6562421119850512,0.8019999999999999,CLIP_L14_ntu,CLIP_L14,ntu
clean,0.7185622256972033,0.5686695423353959,0.30733823313233477,0.0,1.0,DINOv2_abo,DINOv2,abo
class_concentrated,0.6999083982292474,0.5517486681937623,0.32398186808958024,-1.8653827467955852,0.8436,DINOv2_abo,DINOv2,abo
duplicate,0.7002489643974896,0.5700472090762959,0.324083814323771,-1.8313261299713668,0.8624,DINOv2_abo,DINOv2,abo
ood,0.7197884523218718,0.5731801914607848,0.3082309374308218,0.1226226624668536,0.8924,DINOv2_abo,DINOv2,abo
clean,0.6536720466529702,0.2499945947040039,0.3958669268725112,0.0,1.0,DINOv2_esb,DINOv2,esb
class_concentrated,0.6490870565423467,0.24541153085579853,0.39628968766650224,-0.45849901106235214,0.85,DINOv2_esb,DINOv2,esb
duplicate,0.6578630403896447,0.2510252006788048,0.3845872658861122,0.4190993736674531,0.8876,DINOv2_esb,DINOv2,esb
ood,0.6575461708677584,0.25047320806005025,0.3897629714286234,0.3874124214788166,0.9228,DINOv2_esb,DINOv2,esb
clean,0.688824036225505,0.7901611679397679,0.33499880418206224,0.0,1.0,DINOv2_mn40,DINOv2,mn40
class_concentrated,0.6844636046610174,0.7837877150313151,0.33939141911115395,-0.4360431564487621,0.9219999999999999,DINOv2_mn40,DINOv2,mn40
duplicate,0.6928723496875898,0.7942411270597484,0.32817029499679484,0.4048313462084785,0.9548,DINOv2_mn40,DINOv2,mn40
ood,0.689569999552983,0.7892198304050645,0.3353923287815714,0.07459633274780053,0.9435999999999998,DINOv2_mn40,DINOv2,mn40
clean,0.5883909192659394,0.27169677333795145,0.45091032524274527,0.0,1.0,DINOv2_ntu,DINOv2,ntu
class_concentrated,0.5882613817035136,0.27009281367465077,0.43789957360273113,-0.012953756242584102,0.8644000000000001,DINOv2_ntu,DINOv2,ntu
duplicate,0.6000184143964584,0.27194352484293266,0.43782506954192046,1.1627495130518972,0.8664,DINOv2_ntu,DINOv2,ntu
ood,0.6054701040545794,0.2707535951044588,0.43133222997680315,1.70791847886399,0.9012,DINOv2_ntu,DINOv2,ntu
clean,0.7931984312315802,0.6030758789028691,0.22405935452926382,0.0,1.0,OpenCLIP_L14_abo,OpenCLIP_L14,abo
class_concentrated,0.771619628843741,0.5860887816067502,0.24544529061050732,-2.1578802387839158,0.7363999999999999,OpenCLIP_L14_abo,OpenCLIP_L14,abo
duplicate,0.7623119095918622,0.6009650112107654,0.24762547701464804,-3.0886521639717945,0.7844,OpenCLIP_L14_abo,OpenCLIP_L14,abo
ood,0.7898875158526089,0.5978953641544023,0.22174832332716052,-0.3310915378971324,0.8280000000000001,OpenCLIP_L14_abo,OpenCLIP_L14,abo
clean,0.7174908933454599,0.2649014429768635,0.32330335789483294,0.0,1.0,OpenCLIP_L14_esb,OpenCLIP_L14,esb
class_concentrated,0.6872000870103906,0.2562970980524576,0.3587444804083039,-3.029080633506931,0.8004000000000001,OpenCLIP_L14_esb,OpenCLIP_L14,esb
duplicate,0.6961192432386117,0.2592736354441129,0.3531900293845094,-2.137165010684816,0.8540000000000001,OpenCLIP_L14_esb,OpenCLIP_L14,esb
ood,0.7214716774723337,0.2650762158663285,0.33181495719953696,0.39807841268737487,0.8563999999999998,OpenCLIP_L14_esb,OpenCLIP_L14,esb
clean,0.7030480070349525,0.7848998886997812,0.32440672209954385,0.0,1.0,OpenCLIP_L14_mn40,OpenCLIP_L14,mn40
class_concentrated,0.6819011742642896,0.7750080861860452,0.3417271232293362,-2.114683277066287,0.8716000000000002,OpenCLIP_L14_mn40,OpenCLIP_L14,mn40
duplicate,0.7078634368552054,0.7926721262482759,0.31876151890885224,0.4815429820252848,0.9204000000000001,OpenCLIP_L14_mn40,OpenCLIP_L14,mn40
ood,0.6970247093226642,0.7808929345727523,0.32507694091518746,-0.6023297712288267,0.9224,OpenCLIP_L14_mn40,OpenCLIP_L14,mn40
clean,0.6375878554781457,0.2781936352109274,0.40582970870126905,0.0,1.0,OpenCLIP_L14_ntu,OpenCLIP_L14,ntu
class_concentrated,0.6038367171783413,0.27182710367623353,0.45053942811290093,-3.375113829980436,0.7436,OpenCLIP_L14_ntu,OpenCLIP_L14,ntu
duplicate,0.6361885386443418,0.278233866110414,0.40596504928745986,-0.13993168338038986,0.8016,OpenCLIP_L14_ntu,OpenCLIP_L14,ntu
ood,0.6450588589094285,0.2785306738562174,0.39070247097940025,0.7471003431282819,0.8412000000000001,OpenCLIP_L14_ntu,OpenCLIP_L14,ntu
