setting,backbone,dataset,method,offline_target_seconds,online_ms_per_query,mAP,NDCG@100,ANMRR
CLIP_L14_abo,CLIP_L14,abo,no_refinement,0.0,0.0,0.5925097964500053,0.5694267394229187,0.4228182266539003
CLIP_L14_abo,CLIP_L14,abo,pong_full_batch,0.0,0.0,0.6563578039601321,0.5770988287519316,0.36086248881094835
CLIP_L14_abo,CLIP_L14,abo,target_precomputed_single,1.0665180240757763,1.4571909518802868,0.6582345452763081,0.5697708898631431,0.3536497364640743
CLIP_L14_esb,CLIP_L14,esb,no_refinement,0.0,0.0,0.5577324308162819,0.23669188080149214,0.4789699389967795
CLIP_L14_esb,CLIP_L14,esb,pong_full_batch,0.0,0.0,0.6302641824188077,0.25282682875648843,0.4278649057752683
CLIP_L14_esb,CLIP_L14,esb,target_precomputed_single,0.020078797126188874,0.8332827826961875,0.6276784928779128,0.2489544527271126,0.43767663967591175
CLIP_L14_mn40,CLIP_L14,mn40,no_refinement,0.0,0.0,0.5230931950369779,0.6658981379959897,0.4821427003991502
CLIP_L14_mn40,CLIP_L14,mn40,pong_full_batch,0.0,0.0,0.6704875755108449,0.7562311630425788,0.3509472400881178
CLIP_L14_mn40,CLIP_L14,mn40,target_precomputed_single,4.250647156033665,1.9914830423658714,0.6316271109530799,0.7399032092654698,0.3877924283130274
CLIP_L14_ntu,CLIP_L14,ntu,no_refinement,0.0,0.0,0.5820147936202443,0.265169861634896,0.4428361730311005
CLIP_L14_ntu,CLIP_L14,ntu,pong_full_batch,0.0,0.0,0.6289085186505249,0.27366429800398434,0.40803121812187293
CLIP_L14_ntu,CLIP_L14,ntu,target_precomputed_single,0.6878272830508649,0.7987297631593214,0.6329072477300302,0.2703675960682023,0.40602745001529345
DINOv2_abo,DINOv2,abo,no_refinement,0.0,0.0,0.6231118674960745,0.5825395915324495,0.4018394312668746
DINOv2_abo,DINOv2,abo,pong_full_batch,0.0,0.0,0.6763183049438112,0.5814958546476031,0.3546953947380551
DINOv2_abo,DINOv2,abo,target_precomputed_single,1.0754860290326178,1.4554630718467867,0.6799379088194192,0.5844560822126774,0.34924601300814717
DINOv2_esb,DINOv2,esb,no_refinement,0.0,0.0,0.5914839006203799,0.24240265417061915,0.44714536707150704
DINOv2_esb,DINOv2,esb,pong_full_batch,0.0,0.0,0.6241169216445098,0.24956848609220736,0.4295753137011744
DINOv2_esb,DINOv2,esb,target_precomputed_single,0.026914532063528895,0.8781299906938026,0.619335211698494,0.2444801111193534,0.42334714612210605
DINOv2_mn40,DINOv2,mn40,no_refinement,0.0,0.0,0.6265300785951149,0.7462397868473897,0.39611326435712685
DINOv2_mn40,DINOv2,mn40,pong_full_batch,0.0,0.0,0.716823875364941,0.7855811594244122,0.31562814708485826
DINOv2_mn40,DINOv2,mn40,target_precomputed_single,2.7009137459099293,2.11709059367422,0.697938698133042,0.7853891098610545,0.3328907228417018
DINOv2_ntu,DINOv2,ntu,no_refinement,0.0,0.0,0.5980231592810233,0.268146630056845,0.43051021377028326
DINOv2_ntu,DINOv2,ntu,pong_full_batch,0.0,0.0,0.6606099330727522,0.281180526839193,0.37857971199367163
DINOv2_ntu,DINOv2,ntu,target_precomputed_single,0.589396633207798,0.8135637078710176,0.6426299020662205,0.27439275691358506,0.3927638756021526
OpenCLIP_L14_abo,OpenCLIP_L14,abo,no_refinement,0.0,0.0,0.6294085277246732,0.5757900510095124,0.38717937193902285
OpenCLIP_L14_abo,OpenCLIP_L14,abo,pong_full_batch,0.0,0.0,0.7046968741438364,0.5889731358125629,0.31928912542925575
OpenCLIP_L14_abo,OpenCLIP_L14,abo,target_precomputed_single,17.812623511999846,1.5107032459448366,0.7042796182149851,0.5883385726906646,0.3148475756856395
OpenCLIP_L14_esb,OpenCLIP_L14,esb,no_refinement,0.0,0.0,0.6234993357453689,0.25366473694737807,0.41946085650092496
OpenCLIP_L14_esb,OpenCLIP_L14,esb,pong_full_batch,0.0,0.0,0.6981456766147937,0.27097403724668656,0.35645637236577427
OpenCLIP_L14_esb,OpenCLIP_L14,esb,target_precomputed_single,0.03260357887484133,0.8795541672346493,0.6660600929340446,0.26377714676784236,0.395237900749998
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,no_refinement,0.0,0.0,0.668125674586142,0.7742865400172217,0.3543796777162863
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,pong_full_batch,0.0,0.0,0.7608242306927641,0.8114536241604426,0.2707831455064794
OpenCLIP_L14_mn40,OpenCLIP_L14,mn40,target_precomputed_single,3.0701512498781085,2.236652262217831,0.7260851185544677,0.8002884920985018,0.30249978534582855
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,no_refinement,0.0,0.0,0.6450350294713222,0.2825556443094419,0.38782880077389525
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,pong_full_batch,0.0,0.0,0.7008584664549247,0.2918075673108734,0.33150005271329136
OpenCLIP_L14_ntu,OpenCLIP_L14,ntu,target_precomputed_single,0.6883575401734561,0.8071827150329396,0.6938560105467769,0.2884097336965549,0.34656192931940466
