setting,backbone,dataset,policy,order_seed,retained_target_drift,mAP,NDCG@100,ANMRR
CLIP_L14_abo,CLIP_L14,abo,reset,0,0.0,0.6284928031070699,0.5782489053971966,0.39125873173128906
CLIP_L14_abo,CLIP_L14,abo,persistent,0,0.18191102147102356,0.2697399144027607,0.22369313505432586,0.7578780838365062
CLIP_L14_abo,CLIP_L14,abo,persistent,1,0.18199355900287628,0.26988353670577386,0.25368547586402457,0.7644977192500095
CLIP_L14_abo,CLIP_L14,abo,persistent,2,0.1768006682395935,0.2303622953206221,0.21688911165886132,0.7910103190194153
CLIP_L14_abo,CLIP_L14,abo,persistent,3,0.17737509310245514,0.27475427843542977,0.2576288340517049,0.742475431299515
CLIP_L14_abo,CLIP_L14,abo,persistent,4,0.17564935982227325,0.2363684137043146,0.17217351819878682,0.7938250025094151
CLIP_L14_esb,CLIP_L14,esb,reset,0,0.0,0.5729590503297682,0.2397233679904083,0.47777560996506907
CLIP_L14_esb,CLIP_L14,esb,persistent,0,0.15990521013736725,0.21932128961211503,0.11327810657002267,0.8095263228538272
CLIP_L14_esb,CLIP_L14,esb,persistent,1,0.15782824158668518,0.19259314611568443,0.0968738042758223,0.8400401812711689
CLIP_L14_esb,CLIP_L14,esb,persistent,2,0.1591271311044693,0.21480955518892503,0.11126457624285635,0.8187329988604908
CLIP_L14_esb,CLIP_L14,esb,persistent,3,0.1588594764471054,0.19252316810554865,0.10273516318122497,0.8596847119631098
CLIP_L14_esb,CLIP_L14,esb,persistent,4,0.1571395993232727,0.20615889930422196,0.10331413844834718,0.8307984914039863
CLIP_L14_mn40,CLIP_L14,mn40,reset,0,0.0,0.6227635257826936,0.7302692976801705,0.39749909073037115
CLIP_L14_mn40,CLIP_L14,mn40,persistent,0,0.30213311314582825,0.1957545576713445,0.22010718590622247,0.817000649628785
CLIP_L14_mn40,CLIP_L14,mn40,persistent,1,0.30748143792152405,0.2160921978167231,0.21499110697612292,0.8151700924035943
CLIP_L14_mn40,CLIP_L14,mn40,persistent,2,0.3130216598510742,0.22273460901287767,0.21932110634127114,0.7984083026513694
CLIP_L14_mn40,CLIP_L14,mn40,persistent,3,0.30503302812576294,0.20433028736293526,0.21092708819271885,0.8028971116666558
CLIP_L14_mn40,CLIP_L14,mn40,persistent,4,0.30339106917381287,0.17941536272635542,0.16801648782743195,0.854347265199611
CLIP_L14_ntu,CLIP_L14,ntu,reset,0,0.0,0.5816234823162124,0.2609448602526061,0.44591473592509356
CLIP_L14_ntu,CLIP_L14,ntu,persistent,0,0.23901881277561188,0.07691852478191331,0.04280366098203257,0.9361835009430123
CLIP_L14_ntu,CLIP_L14,ntu,persistent,1,0.23113416135311127,0.06953678425038648,0.03532410502506495,0.9488091449109658
CLIP_L14_ntu,CLIP_L14,ntu,persistent,2,0.22971265017986298,0.08600101338944291,0.05245960978847367,0.9272061779220674
CLIP_L14_ntu,CLIP_L14,ntu,persistent,3,0.24107936024665833,0.08863384777700116,0.046167303681577114,0.9220606129087706
CLIP_L14_ntu,CLIP_L14,ntu,persistent,4,0.23508264124393463,0.08258009301973776,0.048772651651573774,0.9286146132749352
DINOv2_abo,DINOv2,abo,reset,0,0.0,0.6562562506496823,0.5873485413169106,0.3731612198003527
DINOv2_abo,DINOv2,abo,persistent,0,0.46522411704063416,0.4015474494945238,0.24774654786488584,0.6381906351250158
DINOv2_abo,DINOv2,abo,persistent,1,0.4614253342151642,0.4404736854710192,0.3418645801319934,0.5958921735781378
DINOv2_abo,DINOv2,abo,persistent,2,0.45483726263046265,0.38021272043258003,0.2841515449434564,0.6695690263934194
DINOv2_abo,DINOv2,abo,persistent,3,0.45001351833343506,0.49781594159624026,0.38857153762608754,0.5494366291535107
DINOv2_abo,DINOv2,abo,persistent,4,0.4464397132396698,0.48765537504583445,0.3784385035187593,0.5401096978321341
DINOv2_esb,DINOv2,esb,reset,0,0.0,0.5947001156894369,0.2412187198053031,0.452165206555223
DINOv2_esb,DINOv2,esb,persistent,0,0.3901466131210327,0.2867247363385479,0.14259202616954514,0.7577225611836489
DINOv2_esb,DINOv2,esb,persistent,1,0.38234999775886536,0.23083511545435473,0.1153854603876738,0.8125810653057842
DINOv2_esb,DINOv2,esb,persistent,2,0.3848278224468231,0.2876214327760846,0.13068324451282046,0.7606644847210876
DINOv2_esb,DINOv2,esb,persistent,3,0.3847483694553375,0.3047209461127413,0.1377725416778843,0.7559469195054037
DINOv2_esb,DINOv2,esb,persistent,4,0.3855798840522766,0.2405314983484252,0.11991496641782937,0.8202812702223514
DINOv2_mn40,DINOv2,mn40,reset,0,0.0,0.6884282941276268,0.7807242410475608,0.34296676653533564
DINOv2_mn40,DINOv2,mn40,persistent,0,0.4630739688873291,0.2920680437100603,0.3320300976520315,0.7356653824145001
DINOv2_mn40,DINOv2,mn40,persistent,1,0.462021142244339,0.30427139920810553,0.3128605141546515,0.7452538344720319
DINOv2_mn40,DINOv2,mn40,persistent,2,0.46654999256134033,0.3359313348144589,0.34251260385861526,0.7025890808078994
DINOv2_mn40,DINOv2,mn40,persistent,3,0.45834118127822876,0.3000206915490232,0.2826388149846656,0.7425703968772107
DINOv2_mn40,DINOv2,mn40,persistent,4,0.4579750895500183,0.29173822137583194,0.2842629988081671,0.7573031509540913
