setting,n_queries,n_low_purity_queries,purity_threshold,baseline_low_purity_mAP,pong_low_purity_mAP,delta_low_purity_mAP_pp
CLIP_L14_esb,120,29,<0.4,0.20131877686325073,0.18664793231354218,-1.4670844549708546
CLIP_L14_ntu,270,49,<0.4,0.1250384497088001,0.11472899835902761,-1.0309451349772485
CLIP_L14_abo,85,4,<0.4,0.0114316107139864,0.021144946325128047,0.9713335611141648
CLIP_L14_mn40,160,17,<0.4,0.11383486522127242,0.14526569576469847,3.143083054342605
OpenCLIP_L14_esb,120,24,<0.4,0.21591264369914442,0.27634407269050204,6.043142899135762
OpenCLIP_L14_ntu,270,39,<0.4,0.13122063634369516,0.13604103554109676,0.4820399197401598
OpenCLIP_L14_abo,85,4,<0.4,0.08770425922319702,0.07250727228457428,-1.5196986938622745
OpenCLIP_L14_mn40,160,11,<0.4,0.18961584683539764,0.21088867641562545,2.1272829580227803
DINOv2_esb,120,26,<0.4,0.18025527438781067,0.16832242180161125,-1.1932852586199416
DINOv2_ntu,270,47,<0.4,0.1255021882796559,0.1363176940065389,1.0815505726883001
DINOv2_abo,85,4,<0.4,0.03763418903871143,0.04901757092446836,1.1383381885756931
DINOv2_mn40,160,12,<0.4,0.1627465043417227,0.19097549373716252,2.822898939543983
