setting,views,view_indices,baseline_mAP,pong_mAP,delta_mAP_pp
CLIP_L14_esb,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.5577323633802699,0.6302668705908506,7.2534507210580745
CLIP_L14_esb,12,0 2 4 6 8 10 12 14 16 18 20 23,0.5545940394652902,0.6212256054148951,6.663156594960496
CLIP_L14_esb,6,0 4 9 13 18 23,0.5467116396796162,0.62025668087932,7.354504119970374
CLIP_L14_ntu,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.5820162147322536,0.6289087008099695,4.6892486077715905
CLIP_L14_ntu,12,0 2 4 6 8 10 12 14 16 18 20 23,0.583830798425937,0.6338890777281057,5.005827930216866
CLIP_L14_ntu,6,0 4 9 13 18 23,0.5773757801195889,0.6323619018134736,5.498612169388473
CLIP_L14_abo,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.5925100873263973,0.6563445913726494,6.383450404625213
CLIP_L14_abo,12,0 2 4 6 8 10 12 14 16 18 20 23,0.5844082736219408,0.6451213603603764,6.071308673843556
CLIP_L14_abo,6,0 4 9 13 18 23,0.5732860495963947,0.6377444212241218,6.445837162772705
CLIP_L14_mn40,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.5230990985215787,0.6704740766135368,14.73749780919581
CLIP_L14_mn40,12,0 2 4 6 8 10 12 14 16 18 20 23,0.5204776794243859,0.6647684512732301,14.42907718488442
CLIP_L14_mn40,6,0 4 9 13 18 23,0.49248685571216616,0.6402141724484898,14.77273167363236
OpenCLIP_L14_esb,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6234962101149847,0.6981456766147937,7.464946649980897
OpenCLIP_L14_esb,12,0 2 4 6 8 10 12 14 16 18 20 23,0.625820342412091,0.7006457485724205,7.482540616032951
OpenCLIP_L14_esb,6,0 4 9 13 18 23,0.6178488430723578,0.6997223191405297,8.187347606817196
OpenCLIP_L14_ntu,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6449520821761802,0.7007466927677679,5.579461059158774
OpenCLIP_L14_ntu,12,0 2 4 6 8 10 12 14 16 18 20 23,0.6428141393773197,0.7048049714969916,6.199083211967194
OpenCLIP_L14_ntu,6,0 4 9 13 18 23,0.6376024671639072,0.6985322709066737,6.092980374276646
OpenCLIP_L14_abo,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6294074286789174,0.7046901067540577,7.528267807514033
OpenCLIP_L14_abo,12,0 2 4 6 8 10 12 14 16 18 20 23,0.6259663441991402,0.6987853256231924,7.281898142405218
OpenCLIP_L14_abo,6,0 4 9 13 18 23,0.6232570626597053,0.6913840716181604,6.812700895845514
OpenCLIP_L14_mn40,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6681167068237779,0.7608098586196397,9.26931517958618
OpenCLIP_L14_mn40,12,0 2 4 6 8 10 12 14 16 18 20 23,0.6628566573438195,0.7533440592580278,9.048740191420833
OpenCLIP_L14_mn40,6,0 4 9 13 18 23,0.6548458328724482,0.747090469332404,9.224463645995574
DINOv2_esb,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.5914839006203799,0.6241169216445098,3.2633021024129905
DINOv2_esb,12,0 2 4 6 8 10 12 14 16 18 20 23,0.5897480007836707,0.6259014601036523,3.6153459319981596
DINOv2_esb,6,0 4 9 13 18 23,0.5845735938356904,0.6315494756016449,4.697588176595446
DINOv2_ntu,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.5980231592810233,0.6606099330727522,6.258677379172884
DINOv2_ntu,12,0 2 4 6 8 10 12 14 16 18 20 23,0.595358339833424,0.6544744149828498,5.911607514942574
DINOv2_ntu,6,0 4 9 13 18 23,0.5890487147893108,0.6407516995579451,5.170298476863433
DINOv2_abo,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6231118674960745,0.6763183685468663,5.320650105079183
DINOv2_abo,12,0 2 4 6 8 10 12 14 16 18 20 23,0.6266764864870602,0.6787093500923138,5.203286360525361
DINOv2_abo,6,0 4 9 13 18 23,0.6168927917925716,0.6692446412217425,5.235184942917092
DINOv2_mn40,24,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,0.6265300769741111,0.7168238606344364,9.029378366032525
DINOv2_mn40,12,0 2 4 6 8 10 12 14 16 18 20 23,0.6289360395672007,0.7229621020364048,9.402606246920408
DINOv2_mn40,6,0 4 9 13 18 23,0.6018377499451263,0.6993662044938207,9.75284545486944
